"screenName","description","location","statusesCount","followersCount","favoritesCount","friendsCount","pull_date"
"pioucpiouc1","","France",9925,291,19563,265,"Sun Jun 12 05:26:29 2016"
"Gianluca_1970","Trump supporter, lets roll!!
U.S.A. Pro- #israel 
@realdonaldtrump #TrumpTrain
#MakeAmericaGreatAgain 
#Trump2016 #NoTrumpNoVote #potus","",26818,10902,18520,11993,"Sun Jun 12 05:26:29 2016"
"Purplehayes57","Electronics Communications","Los Angeles, CA",14764,1352,14381,1386,"Sun Jun 12 05:26:29 2016"
"mommags2579","70  news junkie","new jersey",108820,5221,55657,4931,"Sun Jun 12 05:26:29 2016"
"KazmiWajahat","News Producer @SamaaTV, former correspondent @Dawn_News, GM Operations @VopToday, reports for BBC, CNN & CTV & a first class cricketer. Tweets are personal.","Karachi, Pakistan",30004,233843,9788,7532,"Sun Jun 12 05:26:29 2016"
"Ric9871Ric","Does your online business require life-support? Are you having a tough time getting signups? Guarantee your Success by clicking here now https://t.co/BLWiz8DZgq","Richmond Va USA / Cebu Phils",64529,18933,5952,18562,"Sun Jun 12 05:26:29 2016"
"davidmoadel","I am not licensed or registered to provide financial or investment advice. My writing is only for entertainment purposes, and not intended as investment advice.","USA",18851,7149,568,7091,"Sun Jun 12 05:26:29 2016"
"joerivera82","Comedian seen@  World Famous Comedy Store,San Jose Improv, Tommy T's Pleasanton/Rancho Cordova/S.F., Flappers. MMA!","Lathrop, Ca",10803,1277,177,1181,"Sun Jun 12 05:26:29 2016"
"zuban32gg79","Follow for follow","",623,2119,0,4738,"Sun Jun 12 05:26:29 2016"
"ShowcaseToronto","Follow Showcase Toronto for Events, News and Interviews with talent from all over the GTA !


Showcasetoronto.ca","Toronto, Ontario",296,1792,56,3062,"Sun Jun 12 05:26:29 2016"
"IAmHafizYasir","ہربل علاج: ہیپاٹائٹس، ہائی بلڈ پریشر، بواسیر، مردانہ کمزوری، جریان، لیکوریا، ماہواری، بےاولادی، جلد، جگر، معده اور گردوں کے امراض 03130070006 @iHerbalMedicine","Pakistan",0,60930,0,4496,"Sun Jun 12 05:26:29 2016"
