"screenName","description","statusesCount","followersCount","favoritesCount","friendsCount","ff_ratio","norm_ff_ratio","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","retweetCount","isRetweet","retweeted","longitude","latitude","pull_date","following_client"
"BouhofEd","Grandpa off.3 hc v&s NS veteran unifil dutchbat libanon gun lover",4298,1373,91,2132,0.643996247654784,-1.01791324332208,"RT @2ALAW: I read my Bible, Pray to Jesus &amp; carry a gun.  I'm a Christian Warrior......Allah's worst nightmare.

#2A 
#Trump https://t.co/3‚Ä¶",FALSE,0,NA,2016-06-12 08:38:32,FALSE,NA,"741912556730748928",NA,"android",349,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"JonOfMeans","Unbroken, broken mean",163,6,4,25,0.24,-4.12315065453206,"@realdonaldtrump : wrong temperament , if a big name ENDORSES an opponent he lets the threats fly. Are U going to fight #Trump's REAL wars?",FALSE,0,"realDonaldTrump",2016-06-12 08:38:13,FALSE,NA,"741912476523040768","25073877","iphone",0,FALSE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"RestlessNews","Only The Facts",30150,1828,19840,651,2.80798771121352,3.61461636013203,"@JohnKStahlUSA @theTrumpSpring &lt;---Daily BS #TRUMP Puppet Tweets LOL @TheBaxterBean @skookerG @zeitgeistbabe https://t.co/W9TfOrbADA",FALSE,0,"JohnKStahlUSA",2016-06-12 08:38:00,FALSE,"741269772994641920","741912423641305088","4236806414","twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"Canine_Rights","Animal Rights Activist (both human and non human)",258122,52234,196199,57339,0.91096810198992,0.0731546067913918,"Establishment Donors upset they can't determine Trump's policy, Romney cries on their behalf.

#Trump #ABC CNN https://t.co/Qdqex0xcKO",FALSE,0,NA,2016-06-12 08:37:55,FALSE,NA,"741912400580988928",NA,"twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"MDavidMorris2","Police Officer, Army Vet, Sniper, Avid Outdoorsman & Wants my country Back! YUGE # AlwaysTrump supporter! #Trump2016 Support Police/Combat K-9 #NEVERHILLARY",55346,2334,14003,1467,1.59100204498978,1.82738073762047,"RT @Trump_Videos: Thug snake Romney is attacking Trump on Racism but I guess he ""deliberately $$"" missed the hundreds of illegals attacking‚Ä¶",FALSE,0,NA,2016-06-12 08:37:49,FALSE,NA,"741912378045046784",NA,"android",58,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"DinduNuffink","Once a good goy.
The Altright is an ideology of peace.
LARPagan",8811,691,2525,491,1.40733197556008,1.44147041882216,"People like this #Trump supporter sicken me #PulseShooting #FuckingWhiteMale 
RT @SpectreRedux: *knew https://t.co/xNRLTgVp8N",FALSE,1,NA,2016-06-12 08:37:29,FALSE,NA,"741912293311545346",NA,"www.tweetcaster.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"retasue47","",26206,955,49970,1116,0.85573476702509,-0.123617352290986,"RT @LurganShmith: SHARE: Among ALL #Independents, which presidential candidate do you MOST prefer? #Trump #Bernie #Hillary",FALSE,0,NA,2016-06-12 08:37:22,FALSE,NA,"741912265423626240",NA,"iphone",1,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"ghirltalk","",5376,367,7307,305,1.20327868852459,0.948668742979312,"RT @Anothergreen: #Farage #Trump #Erdogan identical politics, whip up hate against minority/foreigners to gain power.",FALSE,0,NA,2016-06-12 08:37:17,FALSE,NA,"741912245215596544",NA,"iphone",9,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"Gianluca_1970","Trump supporter, lets roll!!
U.S.A. Pro- #israel 
@realdonaldtrump #TrumpTrain
#MakeAmericaGreatAgain 
#Trump2016 #NoTrumpNoVote #potus",26813,10898,18513,11992,0.908772515010007,0.0655631474236558,"RT @Trump_Videos: Thug snake Romney is attacking Trump on Racism but I guess he ""deliberately $$"" missed the hundreds of illegals attacking‚Ä¶",FALSE,0,NA,2016-06-12 08:37:13,FALSE,NA,"741912227918315520",NA,"android",58,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"mommags2579","70  news junkie",108795,5222,55651,4930,1.05922920892495,0.547531164802507,"RT @Gianluca_1970: We want #Trump! @realDonaldTrump 
#CrookedHillary is unfit to be president! 
Not classy! @Trump_Videos https://t.co/R7GU‚Ä¶",FALSE,0,NA,2016-06-12 08:37:11,FALSE,NA,"741912217487048704",NA,"android",2,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"voncolee","Political views: Lennon / Religious views: McCartney / Born to lose, live to win.
I interact with whoever is saying something interesting.",1173,88,262,331,0.265861027190332,-3.8012089565233,"RT @DinduNuffink: Known #NeoNazi #Trump supporter made ominous post on 4chAnn before shooting @#LGBTQIP club #PulseShooting #Breaking https‚Ä¶",FALSE,0,NA,2016-06-12 08:37:00,FALSE,NA,"741912173727887360",NA,"www.twitter.com",1,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"ramissasafar1","GOD BLESS THE USA",4196,335,2857,569,0.588752196836555,-1.30006706449421,"RT @Trump_World: The Fix is on!
Hillary exchanged emails w/ Obama.
If she falls he falls! 
#Trump #Trump2016 #TrumpTrain https://t.co/BF9Fv‚Ä¶",FALSE,0,NA,2016-06-12 08:36:57,FALSE,NA,"741912159202988032",NA,"android",18,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"martin_pettit1","U of Penn graduate: J.D., M.B.A.,M.U.R.P. Forensic accounting, business, & urban planning, corporations in 50 states, & all world commercial jurisdictions",1999,546,2582,1320,0.413636363636364,-2.41064982290974,"RT @Always_Trump: Texas road sign hacked to say ""Hillary For Prison""! #Trump #Trump2016 https://t.co/aLnZsRQ6Qj",FALSE,0,NA,2016-06-12 08:36:39,FALSE,NA,"741912082807934976",NA,"iphone",432,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"UpYoursJack","Aussie
Greek Orthodox
English wife
Fuck the ALP/Greens/Islam/Sharia/Halal/ MUSLIM/Goat,PIG,Camel,Fuckers/ 
#StopWhiteGenocideInSA
#allmuslimsareterrorists",49360,3828,1565,3815,1.00340760157274,0.377209639090608,"RT @G6throughF5: What's wrong with this?  The POTUS hates America, that's what.  And Hillary is 4 more years of it.
No thanks 
#Trump https‚Ä¶",FALSE,0,NA,2016-06-12 08:36:38,FALSE,NA,"741912081373368320",NA,"twitter.com",19,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"JohnGab69864771","",29825,266,13924,113,2.35398230088496,3.05979514236753,"RT @RickRWells: Judge Jeanine- Obama As Guilty As Clinton, Lynch Protecting Both 
https://t.co/EfLCwNh4fO #trump #trump2016 https://t.co/2Z‚Ä¶",FALSE,0,NA,2016-06-12 08:36:18,FALSE,NA,"741911997403389952",NA,"android",11,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"mike4trump","",20053,827,5659,576,1.43576388888889,1.50439393226276,"RT @Always_Trump: If you look at history, this is the most OVERUSED play in the SJW &amp; Liberal playbook #Trump #Trump2016 https://t.co/YCTza‚Ä¶",FALSE,0,NA,2016-06-12 08:36:14,FALSE,NA,"741911977535148032",NA,"android",148,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
"h83091414","Lecturer in University",5768,314,4807,9,34.8888888888889,11.5415056914573,"RT @SuhaHiyam: HYPOCRITE Donald #Trump said in December there are no Muslim sports Heroes
 
Today, on #MuhammadAliÌ†ΩÌ±á
#RIPMuhammadAli https:/‚Ä¶",FALSE,0,NA,2016-06-12 08:36:07,FALSE,NA,"741911949114519552",NA,"www.twitter.com",35,TRUE,FALSE,NA,NA,"Sun Jun 12 04:39:28 2016",0
