"screenName","description","statusesCount","followersCount","favoritesCount","friendsCount","ff_ratio","norm_ff_ratio","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","retweetCount","isRetweet","retweeted","longitude","latitude","pull_date","following_client"
"ZhiBuLuoTuo","‚öì#TEAMFOLLOWBACK‚öî#TFB‚öì#MGWV‚öî#„Ç≥„ÉüPo‚öì#comipo‚öî#SougoFollow‚öì#Áõ∏‰∫í„Éï„Ç©„É≠„Éº‚öî#RTforFollow‚öì #F4F‚öî#ÎßûÌåîÌï¥Ï£ºÏÑ∏Ïöî‚öì#‰∫íÁ≤â‚öî#refollow‚öì#Áõ∏‰∫íÊé®ÈÄ≤‚öî#TakibeTakip‚öì#„Éï„Ç©„É≠„ÉºËøî„Åó‚öî#–≤–∑–∞–∏–º–Ω—ã–π—Ñ–æ–ª–ª–æ–≤–∏–Ω–≥‚öì #ŸÑŸÑÿ±ÿ™ŸàŸäÿ™",47,2018,5,1730,1.16647398843931,0.103576512156751,"#TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Followers Very fast ‚öî02‚öî",FALSE,0,NA,2016-06-12 07:11:55,FALSE,NA,"741890759385743361",NA,"twittbot.net/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"HongSeGaoMian","‚ò†#TEAMFOLLOWBACK‚ò†#TFB‚ò†#MGWV‚ò† #„Ç≥„ÉüPo‚ò†#comipo‚ò†#SougoFollow‚ò†#Áõ∏‰∫í„Éï„Ç©„É≠„Éº‚ò†#RTforFollow‚ò†#F4F‚ò†#ÎßûÌåîÌï¥Ï£ºÏÑ∏Ïöî‚ò†#‰∫íÁ≤â‚ò†#refollow‚ò†#Áõ∏‰∫íÊé®ÈÄ≤‚ò†#TakibeTakip‚ò† #„Éï„Ç©„É≠„ÉºËøî„Åó‚ò† #–≤–∑–∞–∏–º–Ω—ã–π—Ñ–æ–ª–ª–æ–≤–∏–Ω–≥‚ò†#ŸÑŸÑÿ±ÿ™ŸàŸäÿ™",46,2372,2,2069,1.14644755920735,0.0625288454892123,"#TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Followers Very fast ‚ò†02‚ò†",FALSE,0,NA,2016-06-12 07:11:53,FALSE,NA,"741890752565764096",NA,"twittbot.net/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"Ilyasdanuaji","",352,28,16,204,0.137254901960784,-4.96865057384964,"Yess sure..
This My Job..
Ì†ΩÌ∏É
With my Partner Ì†ΩÌ±´

#followforfollow #follow4follow #followme‚Ä¶ https://t.co/DUAwKpVvrd",FALSE,0,NA,2016-06-12 07:09:57,FALSE,NA,"741890266001473536",NA,"instagram.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"keliaopeitela","‚òâ#TEAMFOLLOWBACK‚òâ#TFB‚òâ#MGWV‚òâ#TeamLoveFriends‚òâ#„Ç≥„ÉüPo‚òâ#comipo‚òâ#SougoFollow‚òâ#Áõ∏‰∫í„Éï„Ç©„É≠„Éº‚òâ#RTforFollow‚òâ#F4F‚òâ#ÎßûÌåîÌï¥Ï£ºÏÑ∏Ïöî‚òâ#‰∫íÁ≤â‚òâ#refollow‚òâ#TakibeTakip‚òâ#–≤–∑–∞–∏–º–Ω—ã–π—Ñ–æ–ª–ª–æ–≤–∏–Ω–≥‚òâ#ŸÑŸÑÿ±ÿ™ŸàŸäÿ™",24,750,2,528,1.42045454545455,0.570507068215032,"#TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Followers Very fast ‚òâ02‚òâ",FALSE,0,NA,2016-06-12 07:09:40,FALSE,NA,"741890194849173504",NA,"twittbot.net/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"tian_sh_i","‚ô•#TEAMFOLLOWBACK‚ô•#TFB‚ô•#MGWV‚ô•#TeamAngels‚ô•#„Ç≥„ÉüPo‚ô•#comipo‚ô•#SougoFollow‚ô•#Áõ∏‰∫í„Éï„Ç©„É≠„Éº‚ô•#RTforFollow‚ô•#F4F‚ô•#ÎßûÌåîÌï¥Ï£ºÏÑ∏Ïöî‚ô•#‰∫íÁ≤â‚ô•#Á≤âÁµ≤‚ô•#refollow‚ô•#TakibeTakip‚ô•#–≤–∑–∞–∏–º–Ω—ã–π—Ñ–æ–ª–ª–æ–≤–∏–Ω–≥‚ô•#ŸÑŸÑÿ±ÿ™ŸàŸäÿ™",25,1647,2,1512,1.08928571428571,-0.0587027745650307,"#TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Followers Very fast ‚ô•02‚ô•",FALSE,0,NA,2016-06-12 07:09:40,FALSE,NA,"741890193196621824",NA,"twittbot.net/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"Freemorefollowr","Free followers 2step
1) follow us
2) share one pic of freemorefollowr
Many free followers follow u in just 24 hours",16,1130,179,2196,0.514571948998178,-1.83629737214683,"Free followers 
1)Like this
2)Follow us 
3)Retweet this 
Get many free followers in short time
#followforfollow https://t.co/qVj2KwltYj",FALSE,1,NA,2016-06-12 07:09:02,FALSE,NA,"741890036228968448",NA,"android",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"CoSwitter","#Swipe to #retweet with Switter ! Browse by hashtag, identify trends, enhance your visibility and have fun !",103917,4685,0,2845,1.64674868189807,0.920900223449371,"RT @Freemorefollowr: Free followers 
1)Like this
2)Follow us 
3)share this 
Get many free followers in short time
#followforfollow https://‚Ä¶",FALSE,0,NA,2016-06-12 06:58:47,FALSE,NA,"741887453913620480",NA,"theswitter.co",3,TRUE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"SupplyDm","",639,2079,24,3160,0.657911392405063,-1.25382973628696,"RT @Freemorefollowr: Free followers 
1)Like this
2)Follow us 
3)share this 
Get many free followers in short time
#followforfollow https://‚Ä¶",FALSE,0,NA,2016-06-12 06:54:46,FALSE,NA,"741886445338562561",NA,"twitter.com",3,TRUE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"aaronhwk","Luca Brasi Jr
#BlackLivesMatter



Angel‚ù§",32160,730,11476,909,0.803080308030803,-0.781226913417856,"RT @GainBot_: #TEAMFOLLOWBACK RETWEET THIS FOR FOLLOWERS #FOLLOWBACK #FOLLOWTRAIN #FOLLOWFORFOLLOW",FALSE,0,NA,2016-06-12 06:54:38,FALSE,NA,"741886408848084992",NA,"android",1,TRUE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"GainBot_","welcome to GainBot we are helping you to grow but you must #follow & #retweet our tweets and you will be noticed by us ! we are #teamfollowback Follow&rt us . i",93331,3170,4,1122,2.825311942959,2.20043091150574,"#TEAMFOLLOWBACK RETWEET THIS FOR FOLLOWERS #FOLLOWBACK #FOLLOWTRAIN #FOLLOWFORFOLLOW",FALSE,1,NA,2016-06-12 06:54:27,FALSE,NA,"741886365533675520",NA,"ifttt.com",1,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"sougo_f4f_7","(Japanese)Áõ∏‰∫í„Éï„Ç©„É≠„ÉºÊîØÊè¥„Ç¢„Ç´„Ç¶„É≥„Éà„Åß„Åô„ÄÇ„Åì„ÅÆ„Ç¢„Ç´„Ç¶„É≥„Éà„Çí„Éï„Ç©„É≠„Éº„Åó„Å¶„ÅÑ„Çã„É¶„Éº„Ç∂„Éº„Çí„Éï„Ç©„É≠„Éº„Åô„Çå„Å∞„ÄÅ„Éï„Ç©„É≠„ÉØ„Éº„ÅåÂ¢ó„Åà„Åæ„Åô„ÄÇ100%„É™„Éï„Ç©„É≠„Éº„ÄÇ
(English)This is f4f account. 
If I am followed up, a follower will increase.",5799,2232,0,1581,1.41176470588235,0.555961816059285,"Please follow up and RT this account. 
Your account is followed up. 
#Áõ∏‰∫í„Éï„Ç©„É≠„Éº #sougofollow #„Éï„Ç©„É≠„Éº #„Éï„Ç©„É≠„ÉºÂ∏åÊúõ #RT„Åó„Åü‰∫∫ÂÖ®Âì°„Éï„Ç©„É≠„Éº„Åô„Çã #F4F #FollowforFollow",FALSE,1,NA,2016-06-12 06:49:47,FALSE,NA,"741885191937884160",NA,"twittbot.net/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"yg_eunji","pink panda. krystal?bitches",32434,281,10,441,0.63718820861678,-1.32969192738541,"#RETWEET FOR A FOLLOW #FOLLOWBACK #TEAMFOLLOWBACK #FOLLOWFORFOLLOW",FALSE,1,NA,2016-06-12 06:49:30,FALSE,NA,"741885120395677696",NA,"twittbot.net/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"_Dirty_Water_","Mention me after you tap that follow button for an instant followback. :)",89542,753,9,112,6.72321428571429,4.25536475268492,"#FollowForFollow Dad's prison shame that broke my heart: BBC 5 Live's new star: Here, BBC Radio 5 star E... https://t.co/Qyth3HeYWq #tfb",FALSE,0,NA,2016-06-12 06:42:55,FALSE,NA,"741883462278205440",NA,"twitterfeed.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"CharaSummi","„Ç≠„É£„É©„Çµ„ÉüÂøúÊè¥„ÄÄ‚ú™#TEAMFOLLOWBACK‚ú™#TFB‚ú™#MGWV‚ú™#„Ç≠„É£„É©„Çµ„Éü ÊîØÊè¥‚ú™#SougoFollow‚ú™#Áõ∏‰∫í„Éï„Ç©„É≠„Éº‚ú™#RTforFollow‚ú™#F4F‚ú™#ÎßûÌåîÌï¥Ï£ºÏÑ∏Ïöî‚ú™#‰∫íÁ≤â‚ú™#Á≤âÁµ≤‚ú™#refollow‚ú™#Áõ∏‰∫íÊé®ÈÄ≤‚ú™#TakibeTakip‚ú™#–≤–∑–∞–∏–º–Ω—ã–π—Ñ–æ–ª–ª–æ–≤–∏–Ω–≥‚ú™#ŸÑŸÑÿ±ÿ™ŸàŸäÿ™‚ú™",279,2763,14,2246,1.23018699910953,0.229631159851776,"#TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Followers Very fast „äó02„äó",FALSE,1,NA,2016-06-12 06:40:31,FALSE,NA,"741882856801083393",NA,"twittbot.net/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"wabbieboribor","i got sunshine in my pockets",2622,132,491,84,1.57142857142857,0.809927739221062,"RT @CharacterSummit: #TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Fo‚Ä¶",FALSE,0,NA,2016-06-12 06:34:43,FALSE,NA,"741881400173858816",NA,"android",2,TRUE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"grantwhitney69","Hi I'm a single father of four boys I love life and just take each day as it comes while always striving to do the best for my family.",39,102,7,161,0.633540372670807,-1.34330069182665,"RT @Freemorefollowr: Free followers 
1)Like this
2)Follow us 
3)share this 
Get many free followers in short time
#followforfollow https://‚Ä¶",FALSE,0,NA,2016-06-12 06:34:24,FALSE,NA,"741881319857098752",NA,"twitter.com",3,TRUE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"Cannabislounge_","https://t.co/8VobcBh7lT is a Online Headshop and News outlet",62579,1930,49467,71,27.1830985915493,7.56675560143287,"RT @CharacterSummit: #TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Fo‚Ä¶",FALSE,0,NA,2016-06-12 06:33:55,FALSE,NA,"741881196376776704",NA,"cannabislounge.co",2,TRUE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"CharacterSummit","‚ùë#TEAMFOLLOWBACK ‚ùë#TFB ‚ùë#MGWV ‚ùë „Ç≥„ÉüPoÔºÅ ‚ùë#comipo ‚ùë#SougoFollow ‚ùë#Áõ∏‰∫í„Éï„Ç©„É≠„Éº ‚ùë#RTforFollow ‚ùë#F4F ‚ùë#ÎßûÌåîÌï¥Ï£ºÏÑ∏Ïöî ‚ùë#‰∫íÁ≤â ‚ùë#refollow ‚ùë#Áõ∏‰∫í ‚ùë#„Éï„Ç©„É≠„ÉºËøî„Åó ‚ùë#–≤–∑–∞–∏–º–Ω—ã–π—Ñ–æ–ª–ª–æ–≤–∏–Ω–≥ ‚ùë#ŸÑŸÑÿ±ÿ™ŸàŸäÿ™",1327,2854,498,2398,1.19015846538782,0.151221977180975,"#TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Followers Very fast ‚ô•05‚ô•",FALSE,3,NA,2016-06-12 06:32:17,FALSE,NA,"741880787721584641",NA,"twittbot.net/",2,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"kame841","‚≠ïÔ∏è #TEAMFOLLOWBACK‚≠ïÔ∏è #TFB‚≠ïÔ∏è #MGWV‚≠ïÔ∏è #„Ç≥„ÉüPo‚≠ïÔ∏è #comipo‚≠ïÔ∏è #SougoFollow‚≠ïÔ∏è #Áõ∏‰∫í„Éï„Ç©„É≠„Éº‚≠ïÔ∏è #RTforFollow‚≠ïÔ∏è #F4F‚≠ïÔ∏è #ÎßûÌåîÌï¥Ï£ºÏÑ∏Ïöî‚≠ïÔ∏è #‰∫íÁ≤â‚≠ïÔ∏è #Takip‚≠ïÔ∏è #–≤–∑–∞–∏–º–Ω—ã–π—Ñ–æ–ª–ª–æ–≤–∏–Ω–≥‚≠ïÔ∏è #ŸÑŸÑÿ±ÿ™ŸàŸäÿ™",1099,2665,349,2394,1.11319966583124,-0.00722848263336616,"#TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Followers Very fast ‚ô•05‚ô•",FALSE,2,NA,2016-06-12 06:31:04,FALSE,NA,"741880481147326468",NA,"twittbot.net/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"DeveshHasija","a big fan of films",246,26,17,221,0.117647058823529,-5.33403535314976,"RT @PKhithani: Waterfall Card pls likeÌ†ΩÌπÇ #handmadegifts #cardmaking #likeforlike #followforfollow #pvk https://t.co/12MNhonD91 https://t.co/‚Ä¶",FALSE,0,NA,2016-06-12 06:25:20,FALSE,NA,"741879037430226944",NA,"android",2,TRUE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"nidhiacharya73","I luv...being luvd.3 ....",34,9,5,35,0.257142857142857,-3.48058940249106,"RT @dalyncarl007: Editing credits :@nidhiacharya73
Guys follow her insta account  Ì†ΩÌ∏Å
#followforfollow‚Ä¶ https://t.co/T0JNmaCfyC",FALSE,0,NA,2016-06-12 06:22:24,FALSE,NA,"741878299740114946",NA,"mobile.twitter.com",1,TRUE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"davidmoadel","I am not licensed or registered to provide financial or investment advice. My writing is only for entertainment purposes, and not intended as investment advice.",18850,7148,567,7089,1.00832275356186,-0.241770912982838,"I want Neil's shirt. And his hair. LOL #ifollowback #followback #followme #followforfollow #follow4follow #RT #F4F https://t.co/O1vU6tQtzx",FALSE,0,NA,2016-06-12 06:19:39,FALSE,NA,"741877607638044673",NA,"twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"jhetcayabyab","Confidently beautiful with a heart ‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è",640,501,25,2013,0.248882265275708,-3.55798436119185,"refresh #twitterfollow #followforfollow #likeforfollow #twittet #twittershare #nature #love #fresh https://t.co/KnS3RSCX2Q",FALSE,1,NA,2016-06-12 06:05:12,FALSE,NA,"741873972099174400",NA,"iphone",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"roskotech","#HKN GANG.",435,231,5,202,1.14356435643564,0.056560242699091,"#I.G @Haris_scott #FollowForFollow #Show some love https://t.co/2l6paNwgxc",FALSE,0,NA,2016-06-12 06:02:40,FALSE,NA,"741873334183419904",NA,"www.twitter.com",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"sleaux3","",17141,638,13531,352,1.8125,1.14822297531656,"RT @VestigialRhythm: #TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Fo‚Ä¶",FALSE,0,NA,2016-06-12 06:02:01,FALSE,NA,"741873170198745088",NA,"www.sleauxmeaux.com",1,TRUE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
"VestigialRhythm","‚ùë#TEAMFOLLOWBACK ‚ùë#TFB ‚ùë#MGWV ‚ùë „Ç≥„ÉüPoÔºÅ ‚ùë#comipo ‚ùë#SougoFollow ‚ùë#Áõ∏‰∫í„Éï„Ç©„É≠„Éº ‚ùë#RTforFollow ‚ùë#F4F ‚ùë#ÎßûÌåîÌï¥Ï£ºÏÑ∏Ïöî ‚ùë#‰∫íÁ≤â ‚ùë#refollow ‚ùë#Áõ∏‰∫í ‚ùë#„Éï„Ç©„É≠„ÉºËøî„Åó ‚ùë#–≤–∑–∞–∏–º–Ω—ã–π—Ñ–æ–ª–ª–æ–≤–∏–Ω–≥ ‚ùë#ŸÑŸÑÿ±ÿ™ŸàŸäÿ™",2854,1944,765,1741,1.11659965537048,0,"#TeamFollowBack #OpenFollow #ExtraFollowers #RETWEEET #followback #likeforfollow #RTforFollow #followforfollow Gain Followers Very fast ‚ô•05‚ô•",FALSE,1,NA,2016-06-12 06:01:34,FALSE,NA,"741873055446630400",NA,"twittbot.net/",1,FALSE,FALSE,NA,NA,"Sun Jun 12 03:15:18 2016",0
